Song,Artist,Genre,Year,Album,Duration (seconds),Streams
Hey  Soul Sister,Train,neo mellow,2010,Save me ,217,270661740
Love The Way You Lie,Eminem,detroit hip hop,2010,Recovery,263,2204428520
TiK ToK,Kesha,dance pop,2010,Animal ,200,571392806
Bad Romance,Lady Gaga,dance pop,2010,The Fame Monster ,295,1381566865
Just the Way You Are,Bruno Mars,pop,2010,Doo-Wops & Hooligans,221,1605861648
Baby,Justin Bieber,canadian pop,2010,My World 2.0,214,2474103176
Dynamite,Taio Cruz,dance pop,2010,The Rokstarr Hits Collection,203,190174413
Secrets,OneRepublic,dance pop,2010,Waking Up,225,235552685
Empire State of Mind,Alicia Keys,hip pop,2010,The Blue Print 3,216,16027185
Only Girl,Rihanna,barbadian pop,2010,Loud,235,820594648
Club Can't Handle Me,Flo Rida,dance pop,2010,Only One Flo ,235,367539876
Marry You,Bruno Mars,pop,2010,Doo-Wops & Hooligans,230,17774275
Cooler Than Me,Mike Posner,dance pop,2010,A Matter of Time,213,19425484
Telephone,Lady Gaga,dance pop,2010,The Fame Monster,221,404146357
Like A G6,Far East Movement,dance pop,2010,Free Wired,217,232344168
OMG,Usher,atl hip hop,2010,Raymond v Raymond ,269,185239184
Eenie Meenie,Sean Kingston,dance pop,2010,Eenie Meenie,202,450109310
The Time,The Black Eyed Peas,dance pop,2010,The Beginning ,308,519716106
Alejandro,Lady Gaga,dance pop,2010,The Fame Monster ,274,446782217
Your Love Is My Drug,Kesha,dance pop,2010,Animal ,187,118183610
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,THE E.N.D ,284,362459695
Whataya Want from Me,Adam Lambert,australian pop,2010,For Your Entertainment,227,107292362
Take It Off,Kesha,dance pop,2010,Animal ,215,131593777
Misery,Maroon 5,pop,2010,Hands All Over ,216,334567328
All The Right Moves,OneRepublic,dance pop,2010,Waking Up,238,156278991
Animal,Neon Trees,indie pop,2010,Habits,212,36255516
Naturally,Selena Gomez & The Scene,dance pop,2010,Kiss & Tell,203,341772127
I Like It,Enrique Iglesias,dance pop,2010,Euphoria,231,311744224
Teenage Dream,Katy Perry,dance pop,2010,Teenage Dream,228,269006236
California Gurls,Katy Perry,dance pop,2010,Teenage Dream,235,582987749
3,Britney Spears,dance pop,2010,The Essential Britney Spears,213,95591631
My First Kiss,3OH!3,dance pop,2010,Streets of Gold,192,31826221
Blah Blah Blah,Kesha,dance pop,2010,Animal ,172,79931391
Imma Be,The Black Eyed Peas,dance pop,2010,The E.N.D ,258,83829760
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,The Element of Freedom,249,90056001
Sexy Bitch,David Guetta,dance pop,2010,One More Love,196,133443150
Bound To You ,Christina Aguilera,dance pop,2010,Burlesque Original Motion ,264,2911587
If I Had You,Adam Lambert,australian pop,2010,For your Entertainment,228,83626523
Rock That Body,The Black Eyed Peas,dance pop,2010,The E.N.D,269,87060091
Dog Days Are Over,Florence + The Machine,art pop,2010,Lungs (Deluxe Edition,253,150190394
Something's Got A Hold On Me,Christina Aguilera,dance pop,2010,Burlesque Original Motion,185,58731295
Doesn't Mean Anything,Alicia Keys,hip pop,2010,The Element of Freedom,273,43021724
Hard,Rihanna,barbadian pop,2010,Rated R,251,155311017
Loca,Shakira,colombian pop,2010,Sale el Sol,193,131765362
You Lost Me,Christina Aguilera,dance pop,2010,Bionic ,257,92417420
Not Myself Tonight,Christina Aguilera,dance pop,2010,Bionic ,186,36999931
Written in the Stars,Tinie Tempah,dance pop,2010,Disc-Overy,220,255867001
DJ Got Us Fallin' In Love,Usher,atl hip hop,2010,Raymond v Raymond ,221,306332305
Castle Walls,T.I.,atl hip hop,2010,No Mercy,329,5286533
Break Your Heart,Taio Cruz,dance pop,2010,The Rokstarr Hits Collection,186,212823945
Hello,Martin Solveig,big room,2010,Hello,191,97914730
A Thousand Years,Christina Perri,dance pop,2011,A Thousand Years,285,1832560018
Someone Like You,Adele,british soul,2011,21,285,1689268271
Give Me Everything,Pitbull,dance pop,2011,Planet Pit ,252,827411391
Just the Way You Are,Bruno Mars,pop,2011,Doo-Wops & Hooligans,221,1605865478
Rolling in the Deep,Adele,british soul,2011,21,228,1814628747
Run the World,Beyoncé,dance pop,2011,4,236,507041164
Moves Like Jagger,Maroon 5,pop,2011,Singles,201,719831204
Love On Top,Beyoncé,dance pop,2011,4,267,461418033
Grenade,Bruno Mars,pop,2011,Doo-Wops & Hooligans,223,1012961036
Tonight Tonight,Hot Chelle Rae,dance pop,2011,Whatever,200,56731624
What the Hell,Avril Lavigne,canadian pop,2011,Goodbye Lullaby ,221,348070369
Born This Way,Lady Gaga,dance pop,2011,Born This Way,260,278873590
Monster,Kanye West,chicago rap,2011,My Beautiful Dark Twister Fantasy,379,10957632
Marry You,Bruno Mars,pop,2011,Doo-Wops & Hooligans,230,17775857
Best Thing I Never Had,Beyoncé,dance pop,2011,4,254,374891491
Party Rock Anthem,LMFAO,dance pop,2011,Sorry For Party Rocking,262,2007583634
We R Who We R,Kesha,dance pop,2011,Cannibal ,205,108500271
Price Tag,Jessie J,australian pop,2011,Who You Are ,223,746476758
Good Life,OneRepublic,dance pop,2011,Waking Up,253,181539604
Just Can’t Get Enough,The Black Eyed Peas,dance pop,2011,The Beginning,219,265091380
